item,dept,unit_cost,stock_on_hand
"674",7,27211,7908,37849
"1365",7,12169,3971,16839
"1415",7,43530,2452,57749
"1501",7,25449,6388,62909
"2141",7,22082,5129,61226
"4607",7,5451,8151,67464
"4885",7,8496,7834,67139
"5344",7,30992,4349,39886
"6006",7,44633,3186,5668
"7772",7,12296,4528,2666
"9751",7,8239,8641,19756
"3680",45,35383,2869,53975
"4171",45,35382,9777,79343
"4385",45,25535,8538,64003
"6020",45,40141,5466,74669
"6171",45,36377,0442,49090
"6445",45,42172,6572,25510
"6551",45,16726,0796,2926
"6665",45,6717,2822,68424
"7155",45,7677,9134,22918
"7697",45,40160,6282,98656
"8081",45,34909,1899,39890
"8087",45,30248,0115,17191
"1892",57,6518,896,24877
"3158",57,7573,9071,67865
"3167",57,27938,9553,26374
"3868",57,44331,9648,35499
"4086",57,37517,4517,41942
"4549",57,28337,4894,99609
"6019",57,17026,4608,14908
"6123",57,27466,045,94447
"7397",57,44264,6472,34636
"7824",57,5305,1099,55499
"8695",57,28783,3957,65866
"334",59,34922,1187,17172
"2429",59,14633,6974,41398
"2553",59,38269,9366,51290
"2911",59,15278,8408,6084
"3128",59,24530,5811,70044
"4013",59,24821,2815,82500
"4998",59,23387,2914,36766
"5914",59,15490,4999,65119
"6151",59,33224,1761,91997
"6227",59,34414,0577,13693
"7569",59,33337,1628,72406
"8900",59,46418,6639,87438
"239",60,22937,9018,82199
"411",60,36760,3646,95709
"1491",60,40691,7244,15290
"2440",60,31889,7903,93836
"3531",60,6008,3122,74849
"3943",60,34606,6092,26736
"7230",60,33006,7401,90304
"8042",60,8971,1351,55301
"8137",60,41073,4897,48013
"8169",60,8294,1714,69497
"8754",60,46255,4801,67209
"1973",63,44102,7774,78418
"2195",63,20995,6183,21993
"2618",63,5976,9619,56283
"4754",63,8473,2472,82293
"5980",63,45994,203,61043
"6266",63,39312,2337,14569
"6296",63,16265,5335,21507
"6487",63,34471,6624,35893
"6603",63,10182,0073,33693
"6812",63,10249,1449,13481
"7374",63,12339,2277,12462
"7393",63,32899,1083,39571
"8007",63,32919,3557,6154
"8793",63,5761,9841,18347
"8835",63,43564,3736,89068
"852",71,18959,3735,97738
"960",71,5980,0528,3299
"970",71,5420,0533,76591
"1140",71,14538,8987,26269
"2303",71,45155,5614,86766
"2317",71,20983,225,84471
"2845",71,41683,8444,6864
"5811",71,41892,6061,34985
"6344",71,6266,0635,19822
"7703",71,38246,2269,12323
"9333",71,11938,0925,87694
"545",75,45444,1851,46105
"780",75,5840,0848,98310
"1587",75,9718,6899,37018
"2240",75,40295,0055,19100
"3698",75,14352,4209,27517
"3843",75,39940,528,56445
"5433",75,36945,793,43147
"6814",75,6685,6067,92829
"6990",75,12611,7995,54034
"7510",75,21304,3329,42405
"8556",75,38863,0205,42999
"8796",75,24199,9815,60105
"403",82,31642,668,89822
"793",82,7956,6589,87244
"1144",82,21283,9853,44350
"1237",82,23366,0718,99002
"1724",82,14051,3458,91505
"2114",82,13973,0613,73112
"2493",82,45976,7656,38560
"3422",82,38437,5057,26300
"3560",82,17613,0404,86566
"3593",82,14742,7908,26450
"4340",82,28757,7982,27605
"6173",82,7620,8356,62060
"6579",82,29440,4283,59376
"6729",82,8221,3955,40992
"6767",82,15102,6612,3148
"8451",82,18744,9812,57399
"9932",82,44534,8776,77136
"928",84,25824,3962,64228
"1596",84,11394,9381,56733
"2798",84,22028,029,36093
"3113",84,49811,4829,76627
"3478",84,32618,2404,24597
"3781",84,36423,719,67438
"3926",84,35660,4641,21124
"4509",84,40337,5283,19062
"4974",84,39306,0368,29167
"5719",84,7961,4359,55581
"6479",84,42651,887,16015
"6815",84,5466,0207,5315
"7859",84,29953,7171,2640
"8161",84,9706,1791,21936
"9082",84,16304,1885,88490
"9429",84,45439,2061,11310
"229",7,41512,8308,50350
"810",7,35287,4357,98880
"1702",7,12446,1482,17978
"5917",7,41335,3005,22809
"6245",7,18494,1417,60678
"6680",7,47784,4177,48107
"7446",7,42569,4443,5145
"9821",7,33955,794,69890
"396",45,43859,5948,79849
"745",45,20400,1622,60285
"1564",45,25568,317,56075
"1822",45,18619,7857,85441
"3504",45,23266,9713,11812
"4583",45,8093,5599,30809
"5125",45,25687,384,28959
"5581",45,43855,7485,26362
"7407",45,41302,222,76718
"8348",45,19920,7261,89980
